Year,Country,Latitude,Longitude,Admin
2019,SUDAN,14.88403487,33.42802758,1
2019,SUDAN,11.47292577,26.36041269,1
2019,SUDAN,15.45995065,36.40399147,1
2019,SUDAN,13.56811164,33.56615054,1
2019,SUDAN,12.84943873,22.99734391,1
2019,SUDAN,13.23912504,32.52807802,1
2019,DJBOUTI,11.77244428,42.59975879,0
2019,MYANMAR,16.84895277,96.17263763,2
2019,MYANMAR,19.76622161,96.07707898,2
2019,MYANMAR,22.04032884,98.09244042,1
2019,MYANMAR,21.17205633,94.85898977,2
2019,MYANMAR,20.65998722,96.93414722,2
2019,MYANMAR,16.87666605,97.6446837,2
2019,MYANMAR,16.4562015,97.64373725,2
2019,MYANMAR,15.2492419,97.85288576,-999
2019,MYANMAR,21.96486414,96.08268855,2
2019,MYANMAR,20.56207488,96.91713356,2
2019,MYANMAR,20.93727141,96.66625506,-999
2019,MYANMAR,16.29983935,97.68641465,1
2019,MYANMAR,18.46845237,94.3408007,2
2019,THAILAND,6.708886621,101.411253,1
2019,THAILAND,10.02279632,98.6773391,1
2019,THAILAND,16.93126861,99.00495468,1
2019,THAILAND,7.978067839,98.33624901,1
2019,THAILAND,6.915191101,100.5055483,1
2020,PHILIPPINES,10.77380485,122.5455239,-999
2020,PHILIPPINES,10.77108261,122.5398959,-999
2020,PHILIPPINES,6.41074983,124.9431806,-999
2019,MALDIVES,3.60767397,72.9554307,-999
2020,BRAZIL,-17.22076218,-46.87500293,1
2020,MALAYSIA,4.310149445,101.1508218,2
2020,MALAYSIA,4.821506127,100.729585,2
2020,MALAYSIA,4.56920862,101.096728,2
2020,YEMEN,12.78317062,45.02174637,2
2020,BRAZIL,-12.25983116,-41.50022035,1
2020,BRAZIL,-19.68606851,-40.62676665,1
2020,BRAZIL,-22.93285763,-43.41717597,1
2020,BRAZIL,-12.24392794,-41.59835224,1
2020,BRAZIL,-12.5717523,-56.05173588,1
